Pathway,A1_RPKM,A10_RPKM,A11_RPKM,A20_RPKM,A28_RPKM,A29_RPKM,A30_RPKM,A6_RPKM,A7_RPKM,A9_RPKM,B1_RPKM,B10_RPKM,B2_RPKM,B3_RPKM,B4_RPKM,B5_RPKM,B6_RPKM,B7_RPKM,B8_RPKM,B9_RPKM
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,168.86623565961986,205.29424839497193,10.279090651089694,187.4137076873968,178.05920685523782,217.98729820172392,205.88836343446803,216.9804037595662,102.96300049836996,16.600354527956767,190.43511357385043,86.18206879838894,124.3716403972812,106.23158392855716,206.56092305504492,101.83870659305333,62.751878228637786,94.9988011363507,135.3302921697505,94.32692901041737
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,368.4424293233732,481.8744279610549,570.9748681066224,484.6430576518544,484.4167397218155,336.5708062903075,496.1882813777899,510.64187108022713,592.2380424355139,409.5554437340146,408.26281111594653,500.43723347172835,453.5323152218692,494.9411896390407,525.4343592296408,543.2557828372067,426.0742618735348,264.21297880523343,397.92685260225807,547.2459118299079
CALVIN-PWY: Calvin-Benson-Bassham cycle,419.54303921537536,579.9127072366858,500.3153053739846,451.1243424671096,501.3954567408871,421.1443042099846,555.3371715766745,534.1941427822752,545.3821190408596,387.7533097272325,535.0687505360335,460.24194559609225,439.6108693654344,389.87015625643204,531.8581111354135,609.469704925379,550.0085718062314,231.737755247898,412.7479525249583,441.43918883086184
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate,0.0,0.0,0.0,0.0,0.0,0.0,1.1665425956294828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTFERM-PWY: pyruvate fermentation to butanoate,0.0,0.0,0.0,9.618460675812658,19.382146270700808,0.0,0.0,0.0,16.66879277804389,0.0,0.0,0.0,0.0,0.0,0.0,7.123180322336383,0.0,0.0,0.0,7.66644270535054
CITRULBIO-PWY: L-citrulline biosynthesis,93.93456958468597,85.78592403435565,5.221268639526652,66.19969411930123,64.1922787551704,141.08523494554328,67.62904414523699,109.04299788290619,34.19224200719622,0.0,79.36530726714551,62.6730720813212,57.723786996893985,56.70700685843209,30.48275115776045,34.353128197211866,26.379507650183513,25.523762899483184,59.22713076529417,73.82749901298106
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),462.0031592975024,606.3059163418926,591.3829850857968,465.6012049090876,512.9605132427407,362.1902082064637,568.5764601546871,568.6142646615438,449.2448304265787,374.4796455938343,512.4200751440928,487.54420388950666,503.03829598440024,453.25986199378167,509.9557442798203,642.6667689583825,551.5921308603936,158.91844739657924,382.932127035592,545.8294600635395
COA-PWY: coenzyme A biosynthesis I (prokaryotic),441.87090193978963,602.4977263749455,594.9956897818902,447.93635642211063,504.9343790770985,344.5524955197032,563.8405887689771,553.9226631415538,420.59965931230863,346.75177508095203,516.2459717312819,485.36909578490884,509.1796623399583,479.6845263537951,515.7715277786587,638.1085666612956,595.2960035452754,182.8406638707828,365.1567586396039,553.0314632105383
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I,44.372982646292,183.41275344783404,73.3198497846977,33.93756209845489,31.305877845882662,71.02536345232029,68.9709186260289,66.20864318605709,19.938754098122654,18.484705827552173,98.18694298572235,80.65349471476148,24.30354846057791,55.310121670294166,33.70771213814893,125.55529438477964,110.74205149651246,0.0,38.51653485877607,58.22963641260337
COLANSYN-PWY: colanic acid building blocks biosynthesis,144.21736257544305,240.04230479942333,214.0457055762709,71.77310764778875,90.0629170391451,211.13153185034562,195.99588071626331,177.03017757643576,74.29582727741716,85.60607755229327,224.11258777229722,208.98568196034307,81.4411372023388,165.38306806365398,185.05219815098445,239.52347161697153,264.08365738268793,74.36331168121934,101.77243897933663,174.1436525397559
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,393.57923900651684,548.8052951564965,645.3876951903694,474.53962418843946,488.85795017813575,363.129263339916,552.0062314504231,534.2732786079978,586.5397490996029,417.80087142831223,465.23700754792077,568.5905302399769,469.82263060864983,483.2062462756587,544.8762692488492,606.9338846932997,565.086257659659,255.08888116909228,380.586685002973,566.4823340468032
DAPLYSINESYN-PWY: L-lysine biosynthesis I,215.14019241936276,335.28750598928406,222.51300164294278,335.1636752007435,423.6118076072275,197.82996220801954,352.4709706100114,372.9555065110402,373.3425741849685,265.7038430584658,229.9636988345314,250.10715187322958,324.2168177743369,119.93169964348989,398.4900249251154,307.46363021771367,201.0264277926472,151.4267020469637,214.04166023809572,182.46765938264392
DARABCATK12-PWY: D-arabinose degradation I,10.267925077016091,2.569584682961385,0.0,39.089981223738064,37.18157456961656,17.23997854219673,14.696998715557738,6.366585185745301,12.231831621218811,0.0,0.0,0.0,0.0,0.0,2.593702783639591,0.7418925169532469,0.0,0.0,0.0,0.0
DENITRIFICATION-PWY: nitrate reduction I (denitrification),0.0,25.184126292209747,3.066323159369655,0.0,0.0,24.961919982592,23.26421634049698,42.38125693283735,0.0,0.0,4.178910172335669,13.139538881319938,25.164051180372557,5.713622042739107,46.87035133020786,16.53331127250933,7.9676584368121555,0.0,15.284584548618726,2.0124566779296673
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II,107.76600339112713,168.64769455406454,0.0,214.49662463881305,190.83737184659367,0.0,177.6756071186753,242.1684711910411,204.3529142301421,0.0,141.07624806308647,0.0,131.90221536567992,0.0,291.7408946028881,57.62525684406665,21.57930797409774,0.0,75.65261270120469,0.0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,261.8109240151831,453.96250499754103,509.0856098731562,241.11315904709383,299.29892968486746,313.94554779836835,389.67981750337776,370.72946245807117,301.25890613163966,295.187624515766,343.2831164105126,438.44354737546684,306.08988902868106,344.7663501827022,326.7494272776961,510.1049580723086,507.275509644419,208.5708137245198,288.64870398317294,438.16647441444826
FASYN-ELONG-PWY: fatty acid elongation -- saturated,334.8448622156283,421.0526780915276,382.50795594378013,385.4816280812568,393.70907300525727,400.7431052112362,371.11866453232534,454.2526760621292,451.65870418312124,194.85883015551016,293.96906133061424,319.9297770686459,338.4058629486454,294.98184683740357,470.4455545216129,367.96929809422073,351.66606861376454,210.81159229499886,212.88880850088142,242.69901001024078
FERMENTATION-PWY: mixed acid fermentation,154.54584860400476,195.87754092378677,52.49954979944769,248.25892295484846,329.8499282441996,150.04919559117303,254.5273521909152,258.5906489321771,258.90816227354054,47.83237916040174,176.65679465713,44.41357566978347,209.24456547967063,48.20104085979595,306.8828162700466,136.27702880926546,60.79362417389589,48.35634773420981,91.42950686785498,51.814027760515266
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,328.4525382401651,201.7816656934132,357.58132814813894,366.6040860583793,354.75239720556254,284.09822875774876,295.39893997784816,433.88768161488923,415.4613303185547,260.3527903198033,223.72962055280567,342.1987355687263,282.37085911118515,152.3276616759995,245.66130552964705,374.58256548205446,265.6140276652864,110.54712974480391,307.29445722254303,322.3285145984795
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,22.574501293668924,8.230980683649504,0.0,17.21225518119773,0.0,26.829708411362976,18.73504318743045,13.080831814348198,14.028647425048401,0.0,0.0,0.0,13.144359502851112,0.0,10.87608518389332,2.7440274599576915,0.0,0.0,0.0,0.0
FUCCAT-PWY: fucose degradation,30.481228981177185,5.4439063517655715,0.6589587765946685,97.45815971810246,77.63122283825824,33.27391859457314,19.99770821703931,42.237790701698835,33.48156124017864,0.0,0.0,0.0,21.34233237613059,0.0,8.399268600690235,1.7443058050815414,0.0,0.0,0.0,0.0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,0.0,0.0,17.72000513324086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.085639822796411,0.0,0.0,7.99310411894548,9.031319148747272,17.601510309223997,0.0,0.0,3.577183311742331
GALACTUROCAT-PWY: D-galacturonate degradation I,0.0,3.8790703763857732,26.614956551433465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2780908068198498,9.9270578562834,0.0,15.328948711520589,7.7581934125563645,8.70342294211345,26.797206268605272,0.0,0.0,8.201509869452822
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",275.8806425343085,264.66849543292176,224.86092002774495,286.63274306929696,249.60561432389505,146.15964197687921,263.51474040406265,291.0012672960338,326.9045855438069,176.64721789685612,251.22897845726274,212.41565515955682,179.70761078492262,86.75142910663554,204.18390854142677,321.06558705929535,139.87889212930526,86.55744763661234,275.02434084592005,153.3628304098464
GLUCONEO-PWY: gluconeogenesis I,230.12935454472924,321.93608310627025,410.609283657772,282.3342370293531,314.79682228225863,236.21241937079486,375.36541923863854,286.3658812805178,309.0450244462401,270.06952700280635,327.19384001801063,335.21262370056695,281.19907503233827,326.3027668641946,401.1936750694573,372.2908213020241,355.7267070504926,172.6370345955532,193.92603283562084,253.90739317643227
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,234.6268168326762,293.21365384408693,401.45522483990703,263.2970916740865,280.778400118899,230.07246444908432,287.44098322273175,296.5606209005232,396.4990288187803,297.4918249862404,270.0177787471062,369.4432209650318,300.409957399539,0.0,271.7382654573843,360.55800122735843,339.8397328864177,0.0,0.0,339.6640373169277
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,0.0,6.73489514380146,29.419787461053172,0.0,0.0,0.0,10.660876571880546,3.698456611159381,9.229607939729744,0.0,13.853587069583426,13.21503094610099,5.401440711284608,16.647219932819294,12.568421734807687,16.146201197000124,27.38659625583526,0.0,11.748120704411306,9.673268850371892
GLUTORN-PWY: L-ornithine biosynthesis I,98.90140042815362,166.44806073416456,138.34844241911662,184.67645941947194,249.97543415713614,85.40132444233781,193.97899956950928,123.61001687426713,142.8193872478097,180.81388078111263,92.48623011516723,142.88557144850392,185.57739881870904,193.97796132443779,165.3605176099435,144.05791737258838,127.15294983392683,84.86841153691333,78.02732396869864,220.90929588329328
GLYCOCAT-PWY: glycogen degradation I,45.44755869494394,87.18052335235528,72.5526710069882,29.612628969551192,42.433479576482206,14.259106666538324,75.81042956251288,109.5418861458204,142.0059499395744,61.76763070759648,139.99226764035555,58.30915910415091,43.8630910866608,32.75629314625495,47.672687268376094,121.10569405478647,119.72739586320124,0.0,66.70087267963552,33.90203348152723
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),372.18670289973016,375.8581343185217,476.1992307641342,321.8965762164042,359.66038070267683,253.81046913144186,349.56913578389134,423.6116156741604,466.4300084707556,306.75621500941793,351.0117451928596,405.31568287139925,357.3298860680377,329.4751192239602,323.1767135652349,472.6043783317493,390.6871684911406,267.5682323521826,302.6047940950243,396.22421192302664
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,10.525118723289085,2.9789779965193035,0.0,8.218819819504958,24.671390834121272,10.07724370355704,10.185235621663153,6.126647891314494,10.614532479420383,0.0,0.0,0.0,0.0,0.0,2.8640897130055323,0.8631982947966651,0.6328005914967202,0.0,0.0,0.0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway,254.56278394705745,208.88306164337112,150.24566161456602,279.4921811861075,341.39367348139257,195.6097178791488,236.18080374995185,200.76325065339464,257.4383764034415,240.56080675269547,106.35250397901521,105.49928930776689,222.09703211849597,65.82021469759087,182.20882626890958,149.13164482902013,130.70570808851866,61.415001967918805,217.4162469635317,127.53787865083535
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.280010991130135,0.0,0.0,0.0,0.0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),382.128476577278,404.1665650892272,500.11135945894796,400.80758793850214,406.06878729275763,278.76528790366604,463.76479485812183,412.52995947279857,477.35413391223176,381.77425307113344,423.90783170600486,454.2507820393117,380.8525641931311,401.9361683159886,450.6680667280079,547.7602360927549,390.41787467970653,265.4026157138012,327.1447579690195,465.26482341707253
GLYOXYLATE-BYPASS: glyoxylate cycle,21.67163533937217,5.911985135984903,0.8811404429840635,0.0,18.63549732759185,10.988055610538176,0.0,18.66850274383721,16.351827827976678,0.0,0.0,0.0,25.84979009998637,7.751857797034362,9.641678306396523,5.5711392491265475,1.5681297646354089,0.0,7.770089007770928,0.0
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",58.36654968670017,17.520107764955643,57.7963123380207,38.36591548744088,24.342616622585762,0.0,8.986519904618653,63.874885090439136,22.55994059348553,56.444635066097,17.498048315750708,26.214298589739464,19.239347398552177,30.174819976379066,14.897812313768242,62.83064405170648,33.60657648202689,0.0,12.838839160814278,28.64734550856629
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic),75.0408645756942,122.90350707941951,13.477078118250384,128.80937544417213,207.45679062380407,75.52687161766835,108.66905643402725,128.98317852823712,141.6422890930467,127.41099773735073,88.214085222203,19.06331478265459,137.2823431534395,27.6182156101931,178.25203277175078,69.63132015819332,44.46670847104267,22.675846637991963,78.79835424163024,19.065440630960666
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),91.71080391011331,243.71423995765514,200.23442557429502,145.48229322651366,207.45679062380407,75.52687161766835,216.5481625371774,175.57479702146512,149.08510242587948,154.05817035777608,181.28759031529236,185.07012115640674,137.2823431534395,210.86860602023373,262.01186319500067,218.648998032731,153.8608772121647,95.97806500602944,139.14785443931785,115.79115637796463
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent),108.18861254659666,278.99686875453824,199.51230520539693,238.5088179773333,294.0242639806397,133.19696207023944,261.52982629336975,269.5584333683919,278.1465599005313,216.76325188163742,183.95148311804056,189.43695247913408,262.27182910082007,222.8268269616271,378.0156105557065,219.35031729660452,154.22926873809476,67.93294567629268,133.71126974557862,113.64018123885262
HISDEG-PWY: L-histidine degradation I,118.22532149853036,135.16336913006717,169.55228672365158,57.019628883105405,49.202869298437975,204.65608315107121,162.18601462106693,103.11646465731606,85.61452118722951,51.914240676273685,210.4720202460289,180.81165028331418,59.00600052465434,170.52136014463187,93.2902040111583,145.48529142929607,214.02598435720196,70.55801666383938,104.61965609491573,151.54824609434962
HISTSYN-PWY: L-histidine biosynthesis,107.88842790451298,187.72691091332115,148.7418766818103,224.3554064812486,280.1176182438867,110.01705556667827,249.54486194530983,141.30196476766457,172.10108602465513,181.05653991749026,114.33702958585175,190.6390152589603,271.7726201505029,271.74990932253,248.2683896811797,161.03809283723803,184.97491765385132,62.35446738423519,104.9659168587914,274.5323451091216
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,148.58625311740624,160.39442264131068,115.82062540357856,240.76788175532963,264.1850112928756,170.95769312247128,135.19244890719673,263.2710559883284,234.78208108098215,91.37759657139499,79.96627913182165,65.2558840165205,188.22691993533564,104.38686161269055,152.68536699883055,169.63232124257198,89.91906031263474,41.28631377106096,129.74871784204365,111.7872986687877
HSERMETANA-PWY: L-methionine biosynthesis III,260.34747552100936,273.3580122763795,489.5797986692062,305.1044272772567,242.28774953326564,167.27205277605083,330.55657727554166,300.87352200351194,332.7419097618173,235.0440563148548,252.7519476248342,368.8964160869403,273.3583550417179,291.2415277936716,404.88779914748216,437.6667158010108,369.03624370761,200.80708020612164,253.91346929140815,360.94863385995814
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),377.2529446401808,494.77935324242935,591.9446827418047,508.7623787753389,492.5108808861254,320.91743500357927,507.8921213777222,517.8640239062414,604.5282934960437,406.255329601563,428.3273866444157,518.7813494129014,474.4638185681764,535.7810618397202,546.1790212560982,560.8932943109321,451.9043850462822,273.5521965801495,406.89206834884885,588.5676349278103
LACTOSECAT-PWY: lactose and galactose degradation I,313.55760666377256,203.54330728523763,386.75711973926735,257.4357403608396,211.8606029715907,156.66549688588947,205.04519971742442,283.49364769122747,488.8534691313484,378.16793848954995,194.56674992709858,352.7352687069541,208.30797992547383,196.52089926017322,149.05855557644435,398.07229886405247,204.10783408329436,158.75674889931352,351.1782507944949,302.2960395801435
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,193.17513208791584,237.29363913460918,188.10921783413178,294.01200676311265,314.7934964627952,210.850597175875,211.02468224583126,320.6433195349789,306.79290942185656,115.8392900578952,134.07440256019635,109.62303193915496,232.39538801575276,151.30411772059722,232.93993920763154,247.46212364332976,152.38135237839734,63.62733892746878,164.5665806588576,156.46967500745623
METHGLYUT-PWY: superpathway of methylglyoxal degradation,72.7498837245113,56.606531993665016,20.067400919076587,78.88005520733327,71.76991509199483,25.510563274709483,70.81754939366694,62.716310526846094,67.72412720407962,61.96074851147178,56.23981139281099,64.44992760157933,55.60028834338331,22.258557284527754,69.18474471981064,72.71548186472343,27.708964223360514,25.061590888211317,73.09282239311702,22.5284146091699
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis,208.470726460403,235.73154403898639,178.670225272985,302.8020879307581,331.2171367463377,216.9093332332882,201.7969398774935,337.4067003229403,320.69642553914224,138.36385292081533,126.52331784889708,104.62616952264672,248.86695047552354,156.47839141644477,221.82054166495828,247.87506919152406,140.97414409099997,64.35938442879284,185.1156837265995,169.66558271821012
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside),55.62037419414949,17.58946791875247,54.96978200916469,77.59595175000811,68.34830148888949,20.783561329939207,25.071678462531505,25.59694501029707,63.30961355452027,37.79762663535066,39.48611988477435,29.53211718916155,53.9289547233085,42.65286079025946,64.97373482995582,63.21261520861553,59.37023180892229,0.0,14.16373328262241,14.737911095933649
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli),176.77442096429158,296.0657484553516,23.122218975562483,220.55209966410405,363.27618386415463,151.98800607634354,262.51728522657004,260.4241944919035,244.8403358677075,181.12394403786791,203.81861579580897,49.27082090834105,246.60363824874466,66.19323420463532,308.10696816082907,166.69361707191797,57.13257234124437,53.18855933532639,126.34850878597743,17.87279873657323
NONMEVIPP-PWY: methylerythritol phosphate pathway I,267.4863987504568,517.2072197416227,424.82155822436823,271.03680872548625,380.1807385093982,335.17475897239984,463.6723445218324,380.18783480797117,308.7105813061879,257.20537503199955,446.6405663883847,340.691003788317,327.33936190083654,299.62213826882237,426.82814283396874,427.29156852772496,488.01330485584236,152.69681244252934,229.15651589785566,276.13072072004206
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I,373.96224194810753,386.06295736313757,343.9066768857917,427.9644658685699,458.32310726126775,322.07553322102655,412.04044427838636,451.6066111828408,545.7712617225653,358.429389405277,364.82378322484925,361.5229885882701,389.3207252992174,289.5987748490427,405.02048713299723,434.55362958122566,367.50930976700903,217.14966882746177,385.09021108755906,406.8022696169522
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),308.0322356176417,485.71166755835657,483.46763447249197,289.6631250290034,378.20013643309653,309.7752695906413,421.61387702302017,441.9716700446913,391.4236610840159,334.3352584698745,388.504904143619,425.2843535061033,343.605338582579,335.58873023745025,370.95315758381923,505.6083914228522,432.19855788031214,238.27858827194538,312.55744955184724,429.58146561014865
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),0.0,0.0,10.719047028399496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.270942295088787,10.601154642901813,10.042107568697284,10.662691072104394,9.398134573330902,15.174894482446271,0.0,0.0,26.7004060917548
P108-PWY: pyruvate fermentation to propanoate I,7.652332797190549,8.13825216203,2.5854411294856994,0.0,0.0,0.0,30.77074639481739,45.901048853727914,34.01345754451695,0.0,33.881555301064786,7.442893892337183,29.719995070947007,0.0,36.18125561147489,21.2296616286305,9.398202537417742,0.0,24.017833080152975,3.882515409383655
P122-PWY: heterolactic fermentation,75.36559310026229,84.64349549890964,37.33012897140769,81.00011503087636,116.0654330657737,24.81945658003861,105.5074088161754,109.66800005907261,82.61307206390701,74.17229087242393,86.24051665940375,43.356951174175606,70.36645388081354,45.62969560691327,80.48487967280985,88.68536611524164,46.56705326688013,41.953434277237264,61.05734392798434,47.03485110328647
P124-PWY: Bifidobacterium shunt,59.16138344274915,68.6511581069039,102.99733050157221,22.928593513898182,38.14072343806772,0.0,41.02286049788268,54.494187947456496,103.37961353302781,130.70767433655547,95.98259412143847,46.220420153687414,67.70911418524274,47.42214123225475,51.301187623741235,93.59872701619793,55.66005421654892,50.92550272804842,87.53025196593639,49.34550763673423
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",40.81203168637822,33.46150562530293,67.40551204173619,60.08443383620197,16.632936782378614,34.51617885740508,26.747954001312916,70.13568924788952,52.68518816562043,34.6044532349221,38.15314574833779,59.231408631913304,41.032404595887705,125.66782426207142,56.50740200442918,109.31733670881178,57.56355434669541,40.40620906306525,26.380088673978822,101.12532254713445
P161-PWY: acetylene degradation (anaerobic),50.133477863031935,95.30720108262315,88.9812394675466,82.97204685309754,72.7938185784191,28.566795480169407,49.24991424702864,51.624176221753174,126.75943623285116,71.47276733928837,58.657129424253796,82.44444640291282,17.974345705291718,35.21573294290914,39.580594102730444,81.54397075238593,41.812935156832644,24.495867147666427,40.89221190936215,31.528418730697943
P163-PWY: L-lysine fermentation to acetate and butanoate,31.904412696150313,76.6089383909858,3.34855063982402,14.246872061816049,26.580736841180343,0.0,36.35995884594643,64.1313955657203,11.919335045194577,9.876202739582485,55.675760724663014,12.507342796044771,11.162095622893856,0.0,6.528110672236821,17.448864699931438,6.88786031241146,0.0,23.878199221172494,13.155445482564796
P164-PWY: purine nucleobases degradation I (anaerobic),85.03806217796532,114.43661396298843,65.33421168755729,35.80501143312907,30.217831160220875,11.849822130716042,127.02803305070974,79.92665303678723,38.89193087946332,34.83966961876127,188.01214466697678,100.2540866227311,57.82006108847869,68.35353491514921,30.424191972918614,128.12404858656578,110.34384311080713,77.09439326314441,31.552930689894275,61.39339795013674
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),180.9251917375137,101.29616584508487,136.47997729218247,54.501091603482635,71.59176316656875,74.68488542127031,136.25446630041858,166.5167850351315,53.28531279807657,137.63535730195753,94.03486051359316,61.99394907968382,86.8026193402088,48.578259305290274,68.0478099788448,143.47302524168265,76.65043899522496,21.193066547312924,161.09095823090246,56.23073519035293
P23-PWY: reductive TCA cycle I,62.758793970914454,60.94445931408136,7.865868724396208,56.279324673907965,29.38134044110029,65.75450749036169,76.95113117695684,67.70857266276104,0.0,27.43447340541905,74.62095647305082,5.7933313861316025,110.22728658696221,32.19938918799664,135.16781904842847,66.52016489055721,22.194586268110655,21.873409870009812,50.79921595062349,11.61212253173551
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",129.22797481913713,79.25532442218426,101.3034990181412,160.22419056023384,269.04899708546486,67.21397454891076,116.84308580993151,192.321761285764,0.0,189.36852030421878,85.4453242984436,67.38593523533346,174.65415215243328,68.97379630928874,142.37034605801304,169.72793838863876,91.64452038376398,0.0,129.76575075596514,36.74598386620533
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I,386.71974252625483,318.8759031964549,481.1934159789326,341.64043155209026,405.18271220914016,210.97969980367446,346.65804494919223,416.0593944150966,438.0567132652467,421.891847576631,342.947548683196,444.81202197626925,355.86804641686547,342.83091571850224,336.22961338163884,517.3686217002393,374.5077966288007,265.1139458840269,378.33621433066804,472.2262315871255
