Species,A10,A11,A1,A20,A28,A29,A30,A6,A7,A9,B10,B1,B2,B3,B4,B5,B6,B7,B8,B9
Streptococcus sp. oral taxon 058,7.56849e-05,0.0003929101,0.0012458053,0.0,0.0008087216,0.0,0.0002805922,0.0002642328,0.0010068343,0.0013518144,0.0006348111,0.0008802931,0.0015488252,0.0,0.0006812462,0.0005544341,0.0003473808,0.0016694386,0.0,0.0005103922
Streptococcus oralis/mitis,0.0004146276,0.0001842845,0.0040952032,0.0,0.0003301171,0.0,0.0006959083,0.0006664964,0.0029035802,0.0212069305,0.0006950043,0.0002837778,0.0,0.0,0.000138359,0.0052808467,0.0001593971,0.0,0.0007472581,0.0004875685
Streptococcus pseudopneumoniae,0.0001307396,5.70472e-05,0.0015596094,0.0,0.000498608,0.0,0.0003590181,0.0,0.0014861839,0.0006937355,0.0004089813,0.0002837778,0.0,0.0,0.000138359,0.0001141505,0.0001845672,0.0,0.0,0.0004979794
Streptococcus oralis,0.0030611721,0.0193385951,0.007394789,0.0165801183,0.005752468,0.009299136,0.0049854355,0.001860851,0.0409525483,0.0189157967,0.0169411681,0.004818857,0.0118164594,0.0045650234,0.0144197253,0.0086541799,0.0036066067,0.0058717616,0.0053885046,0.0079551188
Streptococcus oralis,0.0,0.0001982701,0.0,0.0,0.0,0.0,0.0,0.0,0.0008213288,0.0,0.0004592379,0.0,0.0,0.0,0.0,0.0006449525,0.0001102016,0.0,0.0,0.0009397603
Streptococcus oralis,0.0,5.24326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Streptococcus oralis,7.87123e-05,8.42061e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.07298e-05,0.0,0.0,0.0,0.0
Streptococcus peroris,0.0001286866,0.000159944,0.0,0.0007227134,0.0,0.0,0.0004948738,0.0002444031,0.0008916958,0.0,0.0010129834,0.0006991083,0.0006679404,0.0,0.0001345878,0.000290716,0.0004190105,0.0,0.0,0.0004737032
Streptococcus sp.,0.0059208076,0.0275417802,0.0047771178,0.0074523456,0.0049466272,0.0106760194,0.0064425138,0.0047181664,0.011979466,0.0057144148,0.0090941181,0.0052417567,0.0047395365,0.0006558859,0.0030866822,0.0073643548,0.0045279828,0.0070047191,0.0036423148,0.0024569096
Streptococcus infantis,0.0003516882,0.0005956247,0.0,0.0,0.0,0.0,0.0003543156,0.0002903574,0.0043047868,0.0,0.0002071631,0.0003179091,0.0,0.0,0.0006056453,0.0004733961,0.0002215434,0.0,0.0,0.0006171145
Streptococcus sp. HMSC067H01,0.0012583997,0.0005703694,0.0019504449,0.0009855031,0.0020574625,0.0052302936,0.000795801,0.0010397851,0.0045691997,0.0,0.0005161484,0.0013026475,0.0007229391,0.0,0.0018175161,0.0006570141,0.0005300263,0.0062515521,0.0010921885,0.0002379654
Streptococcus sp. HPH0090,0.0003320181,0.0006408528,0.0007426465,0.0,0.0009131045,0.0,0.0011587802,0.0001561098,0.0004907585,0.0,0.003711522,0.0009609472,0.0012339491,0.0008178511,0.0013326819,0.0006067703,0.0005688025,0.004988524,0.0,0.0006890814
Streptococcus infantis,0.0005755176,0.0008042859,0.001785208,0.0,0.0004676898,0.0,0.0012637338,0.0004442857,0.00641334,0.0,0.0017534198,0.0005305057,0.0,0.0,0.0006040613,0.0012133399,0.0005320702,0.0022450655,0.0,0.00036377
Streptococcus infantis,0.0001717096,0.007420956,0.001185861,0.0,0.0006638555,0.0,0.0018931346,0.0,0.0061529201,0.0020831941,0.008707329,0.000604959,0.0025047766,0.0,0.0003054574,0.0013217585,0.0030083826,0.0068580119,0.0012056206,0.0
Streptococcus pseudopneumoniae/infantis,0.0063297265,0.0040985299,0.0025960164,0.0022497642,0.0050708676,0.0059401651,0.0095547294,0.0049401784,0.0316870845,0.0035903192,0.0026391539,0.0055417801,0.0074821535,0.0,0.0092496645,0.0084950547,0.001954702,0.007433021,0.0057477199,0.0007696941
Streptococcus infantis,0.0001917062,0.0004637376,0.0005676705,0.0,0.0005939132,0.0,0.0006235133,0.0002421514,0.0012195702,0.0,0.0003448881,0.0007365129,0.0,0.0,0.0004504995,0.0003103677,0.0001679297,0.0013269924,0.0,0.0
Streptococcus timonensis,0.0034810744,0.0002033496,0.0020322796,0.0,0.0014831434,0.0,0.0006271694,0.0012350504,0.0046640463,0.0010786866,0.0002567718,0.00346265,0.0009021942,0.0,0.0005600534,0.0034768785,0.000344654,0.0,0.0026349596,0.0
Streptococcus sp.,0.0095161722,0.0002554282,0.0007845841,0.0038507189,0.0053465187,0.0020201822,0.005885492,0.0032015937,0.0210194313,0.0,0.0005096649,0.0052494916,0.0073183511,0.0041636432,0.0054915976,0.0048700412,0.0004557405,0.0,0.0072938867,0.0001886822
Streptococcus australis,0.0025629696,0.0009398701,0.0015067064,0.0006463491,0.0012546457,0.0036687381,0.0011321771,0.0012890698,0.0007440533,0.0008681115,0.0005622852,0.0016909239,0.0018152897,0.0,0.0009034515,0.0135237955,0.0006560063,0.0022450655,0.0,0.0002560956
Streptococcus parasanguinis,0.0012050594,0.0417372624,0.0029509504,0.0116959742,0.0031351566,0.0016143949,0.0022506236,0.0003041699,0.007748466,0.0066485863,0.0349943336,0.014985681,0.0147068851,0.0882466153,0.0243989532,0.0221159307,0.0314520075,0.0250511276,0.0058196343,0.0779619498
Streptococcus sp. F0442,0.0003126225,0.0002404554,0.0,0.0,0.0,0.0,0.0003089559,8.15005e-05,0.0005290768,0.0,0.0,0.0007892737,0.0,0.0,0.000232894,0.0027497247,0.0001027807,0.0,0.0,0.0006209799
Enterococcus faecium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005079034,0.0,0.0,0.0,0.0,0.0,0.0
Staphylococcus aureus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001099784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staphylococcus hominis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008388668,0.0,0.0,0.0,0.0,0.0,0.0,0.0002347785
Staphylococcus epidermidis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007784098,0.0,0.0,0.0008670028,0.0,0.0,0.0001532373,6.44611e-05,0.0,0.0,0.0002642229
Lautropia mirabilis,0.0003958904,0.0002952779,0.0113003951,0.0038707136,0.0099238596,0.0153482385,0.0002781919,0.0119960947,0.0079256422,0.0040485798,0.0,0.0010964792,0.0229350556,0.0084134078,0.0003490068,0.001579568,0.000169907,0.0027205829,0.006264447,0.0
Acidovorax wautersii,0.0,0.0,0.0,0.0,0.0,0.0,0.0001531566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Streptococcus anginosus,0.0,0.0001720637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00179508,0.0002615775,0.0,0.0013367248,0.0,0.0001942309,0.0002793315,0.0,0.0,0.0006287344
Streptococcus anginosus,0.0,0.0001310912,0.0,0.0010966072,0.0006148296,0.0,0.0005420059,0.0,0.0009393251,0.0019370375,0.0065606423,0.0010502563,0.0017784221,0.0017382249,0.0004062254,0.0009556277,0.0009913826,0.0,0.0011385248,0.0121626511
Streptococcus anginosus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007905076
Streptococcus anginosus,0.0001231655,0.0004163231,0.000904369,0.0007170337,0.0,0.0,8.35825e-05,0.0,0.0003965441,0.0,0.0067434437,0.000624832,0.0007578987,0.00436191,0.0023172576,0.0003520738,0.0011346647,0.0022121937,0.0,0.0008652724
Streptococcus anginosus,0.0,0.001084987,0.0,0.0,0.0,0.0,0.0,0.0,0.0007930883,0.0,0.0023599465,0.0,0.0,0.0,0.0004595497,0.0002955854,0.0002549474,0.0,0.0,0.0004370418
Streptococcus intermedius,8.99267e-05,8.03694e-05,0.0,0.0,0.0007492079,0.0,0.0,0.0004293452,0.0006497366,0.0006456792,0.0010020951,0.0,0.0006050966,0.0014189913,0.0,0.0002316958,3.29557e-05,0.0,0.0,0.0004352099
Streptococcus constellatus,9.58531e-05,7.72238e-05,0.0008484537,0.0014963221,0.0005882063,0.0,0.0004097295,0.0,0.0,0.0,0.002230058,0.0006472384,0.0010944619,0.0091407964,0.0006827604,0.000547542,0.0003128014,0.0,0.0,0.0040163842
Lactobacillus rhamnosus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57335e-05,0.0,0.0,0.0,0.0
Cutibacterium acnes,6.32377e-05,2.87427e-05,0.0003975123,0.0,0.0,0.0,0.0001387404,0.0001561098,0.0,0.0,0.0,0.0,0.0006083674,0.0,0.0,6.00855e-05,3.0298e-05,0.0,0.0,0.0005058462
Corynebacterium aurimucosum,9.61286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000744529,0.0,0.0,0.0,0.0,0.0,0.0,0.0002455586
Capnocytophaga ochracea,0.0003021156,5.23209e-05,0.0012651001,0.0014364705,0.0007077019,0.0011084625,0.0007103658,0.0006767578,0.0006640805,0.0010723226,0.0009242,0.0006681761,0.0015220628,0.0004697696,0.000696058,0.0005221376,0.0002019628,0.0028984614,0.0007977657,0.0004237383
Streptococcus sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002518633
Streptococcus sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004007215,0.0,0.0,0.0,0.0,0.0,0.0
Gordonia sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83494e-05,0.0,0.0,0.0,0.0
Haemophilus influenzae,0.0004813281,4.03784e-05,0.0030128035,0.0059326365,0.0023959251,0.0,0.0006746269,0.000570533,0.0007604061,0.0007889751,0.000372782,0.0002597523,0.0,0.0,0.0,0.0001721191,7.04894e-05,0.0,0.0014140167,0.0001244707
Haemophilus sp.,0.0010703784,6.21119e-05,0.008932228,0.0248677011,0.0187432122,0.0030654069,0.0013273912,0.0038215524,0.0009006196,0.0032831786,0.0001748842,0.0009118299,0.0,0.0,0.0,0.0003970035,0.0001983622,0.0,0.00226755,0.0
Haemophilus sp. C1,0.0,0.0,0.0041812844,0.0014453154,0.003026056,0.0,0.0005195867,0.0023472646,0.0,0.0008669955,0.0,0.0,0.0,0.0,0.0,0.0,7.04894e-05,0.0,0.0,0.0
Lactobacillus salivarius,0.0,3.95213e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036396,0.0,0.0006543486,0.0076479216,0.0,0.0007865483,0.0003737917,0.0,0.0,0.0054794485
Porphyromonas gingivalis,0.0026267891,3.95213e-05,0.0359113651,0.0,0.0008149305,0.0,0.0047339063,0.0004450342,0.0,0.0043531505,0.0112523648,0.0331833703,0.0,0.0068161539,0.0041806961,0.0011576886,0.0044862129,0.0172788858,0.0162714183,0.0156634809
Fusobacterium periodonticum,0.0702188863,0.0015332643,0.0108906866,0.0045788497,0.0207343028,0.0012369186,0.013054242,0.0443509461,0.0139778483,0.0037411485,0.0006099669,0.0424289675,0.0036951673,0.0,0.0004540571,0.0137646499,0.0026994435,0.007417917,0.0098230173,0.0
Fusobacterium sp. oral taxon 370,0.0002678153,3.76562e-05,0.001695317,0.0,0.0,0.0,0.0001669479,0.0001537582,0.0,0.0,0.0003750172,0.0018520237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006330016
Fusobacterium nucleatum subsp. animalis,0.0005878751,0.0003023922,0.0028108605,0.0035658447,0.0013394555,0.0018157703,0.0020945309,0.0010889352,0.0005851751,0.0026745913,0.0043750476,0.0030259891,0.0026260057,0.0020568671,0.0021328489,0.0004314774,0.001103487,0.0062279108,0.0037713478,0.0035215393
Fusobacterium nucleatum subsp. vincentii,0.0016835622,0.0001684987,0.0024267591,0.0055736662,0.0032578708,0.0042926815,0.0036932595,0.0026191153,0.0012439902,0.0018367008,0.0018267257,0.0025737438,0.0031080955,0.003328482,0.0014706679,0.0009535048,0.0007645718,0.0067177433,0.0045963458,0.0024599385
Fusobacterium nucleatum subsp. nucleatum,0.0005941162,4.95839e-05,0.0023831318,0.001956929,0.001427042,0.0,0.0016123735,0.0005863861,0.0,0.0010723226,0.0006418563,0.0037787689,0.0,0.0016659032,0.0004186049,6.18943e-05,0.0001818132,0.0030748913,0.003087007,0.0038278816
Fusobacterium hwasookii/nucleatum,0.0027620191,0.0001441769,0.0031761122,0.0037178059,0.0025311811,0.0016496297,0.0063701771,0.0187086894,0.0013086967,0.0030676572,0.0010717475,0.003016226,0.0014807536,0.0019498737,0.0006727426,0.0010451745,0.0004564626,0.0062839745,0.0043230543,0.0009352761
Fusobacterium nucleatum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.10872e-05,0.0,0.0,0.0
Prevotella buccae,0.0,0.0,0.0,0.0008441586,0.0,0.0,0.0,0.0001835306,0.0,0.0,0.0,0.0,0.0005090984,0.0,0.0,6.04482e-05,0.0002950374,0.0,0.0,0.0
Lactobacillus gasseri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003387397,0.0,0.0,0.0023217797,0.0,0.0001010765,4.96234e-05,0.0,0.0,0.002581791
Haemophilus parainfluenzae,0.030343668,0.000224322,0.0230049864,0.0662291802,0.067481286,0.0274001179,0.0634071216,0.0551912027,0.0662487148,0.0093629485,0.0004244393,0.0433614408,0.0682414347,0.0033433958,0.1827529488,0.0263026678,0.0031932668,0.006294727,0.0083538922,0.0
Capnocytophaga sp. oral taxon 326,0.0010885726,0.000126305,0.0,0.0018369833,0.0014830042,0.0016864334,0.0002194767,0.0006200623,0.0017245346,0.0,0.0001531572,0.0002261131,0.0,0.0004639635,0.0013489469,0.0005037932,0.0002323595,0.0,0.0024824489,0.0002185209
Capnocytophaga sputigena,0.0086912922,4.94307e-05,0.0005730109,0.0010885959,0.0030269917,0.001435934,0.0002066042,0.0020445167,0.0013056029,0.0010643668,0.0,0.0002307395,0.001348418,0.0015633865,0.0034427803,0.003176077,0.0002746222,0.0,0.0034496672,0.0
Aggregatibacter actinomycetemcomitans,0.0,0.0,0.0009080762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prevotella sp. oral taxon 473,9.83904e-05,0.0,0.0054837579,0.0,0.0007545222,0.0,0.0006011314,0.0002549188,0.0,0.0,0.0,0.0005279194,0.0008237637,0.0,0.000333262,5.46203e-05,6.56461e-05,0.0,0.0011949827,0.0
Prevotellaceae bacterium Marseille-P2826,0.0020443954,0.0,0.0016826911,0.0,0.0016265968,0.0,0.0122323572,0.0035988176,0.0,0.0013013456,0.0,0.0,0.0,0.0,0.0,0.0,4.06539e-05,0.0,0.0004534533,0.0
Haemophilus sputorum,0.000638164,0.0001441464,0.0043355052,0.0362095037,0.0217703883,0.0065775014,0.0022131969,0.0003043425,0.0102716402,0.0,0.0,0.0,0.0003962956,0.0,0.0,0.000563441,9.51569e-05,0.0,0.0,0.0
Lactobacillus delbrueckii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004746293,0.0,0.0,0.0,0.0,0.0,0.0
Lactococcus lactis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008329574,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium animalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38124e-05,0.0,0.0,0.0,0.0
Streptococcus thermophilus,0.0002764723,0.0003827746,0.0006542869,0.0006716478,0.0,0.0,0.0,0.0,0.0,0.003278252,0.0002278289,0.0,0.0007879736,0.0027117426,0.0013151846,0.0003761492,0.0003877347,0.0,0.0,0.0028842412
Streptococcus salivarius,0.0001979452,0.0002603707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002960596,0.0003080734,0.0,0.0,0.0009511859
Streptococcus salivarius,0.0049405314,0.0396218543,0.0065366079,0.0336177052,0.0076101983,0.0074075424,0.022633199,0.0001906513,0.0039962373,0.022299034,0.0383277679,0.0133274799,0.0558921125,0.1218636243,0.0428643729,0.0265776158,0.0490376965,0.0255409242,0.0025278717,0.2147708715
Lactobacillus fermentum,0.0,4.0564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005093606,0.0,0.0,6.79741e-05,0.0,0.0,0.0003144709
Morococcus cerebrosus,0.0005452201,4.84307e-05,0.0067076395,0.0,0.003955254,0.0,0.0002894973,0.001217697,0.0003188205,0.0266108299,0.0004171363,0.0012941904,0.0015507769,0.0038349918,0.0011628564,0.0016136553,8.73881e-05,0.0,0.0017711024,0.0
Neisseria sicca/macacae,0.0038604986,0.0001906098,0.0209837436,0.0011198895,0.040951797,0.0038421566,0.0016480528,0.0312957711,0.0025113985,0.0959949612,0.0002040297,0.0012972871,0.0281064751,0.0106599427,0.0043661405,0.0155841395,0.0002555182,0.0024908412,0.0043862471,0.0002947631
Neisseriaceae sp.,0.0002323107,0.0003387076,0.0014453412,0.0021898936,0.0143852451,0.0017892298,0.0003987559,0.0009989209,0.0,0.0083060512,0.0001713966,0.0011082842,0.001644726,0.0014540394,0.001204683,0.00162947,0.0001966568,0.0012450125,0.0038181519,0.000292501
Neisseria sp. HMSC072F04,7.32007e-05,0.0007411246,0.0007122255,0.0,0.0444706884,0.0,0.0,0.0005092991,0.0,0.0095919846,0.0,0.0,0.0,0.0,0.0,0.0002937148,1.90105e-05,0.0,0.000445987,0.0
Neisseria sp. HMSC064E01,0.0009716463,0.0,0.011874173,0.0,0.0018877406,0.0,0.0013874761,0.0023425736,0.0048489143,0.0059397445,0.0,0.0,0.0003179321,0.0002507709,0.0033884865,0.0012622108,0.0003074665,0.0,0.0031101521,0.0
Neisseria sicca,0.0001197851,4.85711e-05,0.0014612258,0.0,0.0014173345,0.0,0.000143305,0.0003328112,0.0,0.0011198344,0.0,0.0003584079,0.0004210329,0.0,0.0006077117,0.0005857803,0.0001439717,0.0,0.0011477235,0.0
Neisseria sp. oral taxon 014,0.0003075445,0.0001936755,0.0028702256,0.0,0.0021648738,0.0050046553,0.000212846,0.0037128302,0.0,0.0,0.000103297,0.0007675579,0.0070324296,0.0015070346,0.0014396294,0.0009346471,0.0003208489,0.0018600579,0.0014240839,0.0003760944
Neisseria gonorrhoeae,0.00016456,0.0,0.0,0.0,0.0,0.0,0.0,0.0022336504,0.0,0.0,0.0,0.0,0.0004277277,0.0,0.0004161255,0.000236393,0.0,0.0,0.0007090648,0.0
Neisseria meningitidis,0.0041457678,0.0003424744,0.0036326336,0.0028552542,0.0030803094,0.0058624027,0.0030140329,0.0021920835,0.0073243748,0.0126579052,0.0002956226,0.0010644026,0.010257078,0.0018104782,0.0008919071,0.0023991312,0.0006335955,0.0,0.0041461818,0.0
Campylobacter showae,9.50264e-05,0.0,0.0,0.0,0.0,0.0,0.0003070517,0.0001073571,0.0,0.0,0.000227191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campylobacter showae,0.0001671948,0.0,0.0,0.0,0.0,0.0,0.0,0.000125419,0.0,0.0,0.0,0.0003059865,0.0,0.0,0.0003698754,5.39352e-05,0.0,0.0,0.0,0.0001080501
Campylobacter showae,0.0011296598,0.0,0.0,0.0,0.0,0.0,0.0005434679,0.0005937061,0.0,0.0,8.11519e-05,0.0,0.0,0.0,0.0005151727,0.0001969141,0.0,0.0,0.0010297958,0.0
Campylobacter rectus,0.0004434906,0.0,0.0025921824,0.001160376,0.0006971129,0.0123026363,0.0011756255,0.0002415534,0.0,0.0012664449,0.0002760149,0.0009755053,0.0011449437,0.0003902906,0.0010375434,0.0001913709,9.41226e-05,0.0,0.0016761884,0.0010547989
Eikenella sp.,0.0002376651,0.0,0.0,0.0,0.0043461032,0.0,0.0002473954,0.0002279328,0.0016164508,0.0,0.0,0.0002325228,0.0,0.0,0.0004237506,0.000255819,0.0001308595,0.0008883536,0.0005723455,0.0
Eikenella sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001687779,0.0,0.0,0.0,0.0
Eikenella corrodens,0.0003184582,0.0,0.0,0.0008965305,0.0008319605,0.0,0.0005604476,0.0003276189,0.001002049,0.0,0.0001674645,0.0003919619,0.0040370427,0.0,0.000704414,0.0004480929,8.56469e-05,0.0,0.0015246442,0.0001134184
Eikenella corrodens,0.0,0.0,0.0,0.0,0.0,0.0,0.0002903243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004232231,0.0
Eikenella sp. NML130454,0.0001480845,0.0,0.0,0.0,0.000535569,0.0,0.0002952596,0.0001262927,0.0,0.0,0.0001665643,0.0,0.0,0.0,0.0003223564,0.0005957454,0.000143728,0.0,0.0,0.0
Prevotella nigrescens,9.69645e-05,0.0001253865,0.0009148544,0.0012390661,0.0022243326,0.0,0.0006108609,0.0014921133,0.0006829305,0.0,0.0048155472,0.007685955,0.0013049039,0.0008763351,0.0015037273,0.0008325913,0.0010940948,0.0017836044,0.0,0.0016486565
Prevotella phocaeensis/oralis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007314233,0.0001671116,0.0,0.0006597613,0.0,0.0002797259,0.0001561779,4.85575e-05,0.0,0.0,0.0004317657
Streptococcus sanguinis,0.0015833302,0.0016472146,0.015933061,0.0187100028,0.0052274286,0.0097738006,0.0069261566,0.003964977,0.0086990455,0.0142115898,0.0024377582,0.0013929697,0.0075575465,0.0117504721,0.0055652763,0.0112659039,0.0009972179,0.0041879719,0.0045151453,0.0012591337
Streptococcus sanguinis,0.0006501539,0.0,0.002963613,0.0010828424,0.0018066025,0.0016550319,0.0,0.0007392511,0.0,0.0,0.0,0.0003348305,0.0,0.0004024634,0.0,0.0002862473,5.30319e-05,0.0,0.0,0.0
Streptococcus sobrinus,0.0,9.63047e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035974746,0.0,0.0010681926,0.0207343354,0.0002297748,0.0,0.0002794376,0.0,0.0,0.0147037153
Streptococcus mutans,0.0,0.0003196825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005148186,0.0,0.0004214893,0.0033801176,0.0003201838,0.0,0.0001535333,0.0,0.0,0.0014369702
Prevotella pleuritidis,0.0,4.56595e-05,0.0012701198,0.0029104285,0.0006933903,0.0034102616,0.0013762968,0.0002086373,0.0,0.0,0.0,0.0,0.0,0.0,0.0001687527,0.0,0.0002123528,0.0,0.0,0.0004169925
Haemophilus paraphrohaemolyticus,0.0001282648,0.0,0.0,0.0037624111,0.0113529816,0.0177877968,0.0004297022,0.0,0.0007043371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haemophilus parahaemolyticus,0.0,0.0,0.0,0.003048508,0.0019117853,0.0,0.0006951983,0.0,0.0,0.0,0.0,0.0,0.0030976503,0.0,0.0,0.0003833981,0.0,0.0,0.0,0.0
Lachnoanaerobaculum saburreum,0.000113914,0.0001040809,0.0,0.0006916228,0.0,0.0,0.0001698218,0.0001550156,0.0003438358,0.0,0.000747696,0.0003753272,0.0019155945,0.0,0.0002862868,0.0002166079,6.78968e-05,0.0023044937,0.0,0.0007261846
